#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.86691  0.009224  0.004590  0.000518
   0.00486  0.99524  0.00099  0.87475  0.008644  0.004427  0.000589
   0.01282  0.98754  0.00298  0.89211  0.007559  0.004097  0.000754
   0.02169  0.97897  0.00528  0.91363  0.006520  0.003738  0.000963
   0.03136  0.96960  0.00767  0.93559  0.005698  0.003417  0.001177
   0.04184  0.95939  0.01003  0.95298  0.005173  0.003188  0.001338
   0.05326  0.94822  0.01243  0.96620  0.004834  0.003025  0.001450
   0.06556  0.93618  0.01494  0.97817  0.004560  0.002885  0.001545
   0.07853  0.92348  0.01757  0.98937  0.004327  0.002759  0.001629
   0.09196  0.91033  0.02029  1.00013  0.004121  0.002644  0.001706
   0.10564  0.89693  0.02306  1.01075  0.003930  0.002535  0.001782
   0.11945  0.88341  0.02587  1.02120  0.003754  0.002432  0.001854
   0.13334  0.86981  0.02871  1.03179  0.003586  0.002333  0.001929
   0.14728  0.85617  0.03158  1.04242  0.003427  0.002237  0.002004
   0.16126  0.84249  0.03447  1.05323  0.003273  0.002145  0.002081
   0.17528  0.82878  0.03738  1.06428  0.003124  0.002054  0.002162
   0.18932  0.81505  0.04031  1.07543  0.002982  0.001967  0.002244
   0.20337  0.80131  0.04324  1.08701  0.002842  0.001881  0.002332
   0.21742  0.78757  0.04616  1.09868  0.002709  0.001798  0.002422
   0.23143  0.77386  0.04908  1.11067  0.002578  0.001717  0.002518
   0.24540  0.76019  0.05198  1.12286  0.002453  0.001638  0.002618
   0.25932  0.74658  0.05485  1.13534  0.002331  0.001562  0.002724
   0.27317  0.73302  0.05768  1.14807  0.002213  0.001488  0.002836
   0.28696  0.71952  0.06048  1.16099  0.002100  0.001416  0.002953
   0.30067  0.70609  0.06322  1.17422  0.001990  0.001347  0.003078
   0.31430  0.69272  0.06591  1.18762  0.001884  0.001280  0.003209
   0.32785  0.67943  0.06854  1.20131  0.001781  0.001214  0.003350
   0.34130  0.66622  0.07109  1.21522  0.001682  0.001152  0.003500
   0.35465  0.65310  0.07357  1.22927  0.001587  0.001091  0.003659
   0.36788  0.64009  0.07595  1.24379  0.001494  0.001032  0.003835
   0.38099  0.62718  0.07823  1.25785  0.001407  0.000976  0.004012
   0.39398  0.61438  0.08039  1.27255  0.001321  0.000922  0.004213
   0.40680  0.60172  0.08243  1.28701  0.001240  0.000870  0.004424
   0.41947  0.58919  0.08432  1.30031  0.001167  0.000823  0.004629
   0.43206  0.57671  0.08605  1.31088  0.001107  0.000784  0.004793
   0.44464  0.56424  0.08764  1.32019  0.001054  0.000748  0.004943
