#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.84357  0.003985  0.002394  0.001142
   0.00467  0.99536  0.00060  0.85182  0.003785  0.002307  0.001223
   0.01246  0.98770  0.00194  0.87183  0.003348  0.002115  0.001440
   0.02140  0.97891  0.00363  0.89459  0.002937  0.001921  0.001697
   0.03150  0.96899  0.00554  0.91497  0.002630  0.001764  0.001929
   0.04262  0.95806  0.00755  0.92763  0.002461  0.001669  0.002062
   0.05462  0.94625  0.00967  0.93550  0.002362  0.001606  0.002129
   0.06719  0.93388  0.01190  0.94286  0.002273  0.001548  0.002187
   0.08006  0.92123  0.01424  0.95025  0.002186  0.001491  0.002245
   0.09310  0.90841  0.01666  0.95781  0.002101  0.001435  0.002306
   0.10624  0.89551  0.01917  0.96569  0.002016  0.001378  0.002371
   0.11946  0.88255  0.02175  0.97383  0.001932  0.001322  0.002440
   0.13273  0.86954  0.02439  0.98239  0.001846  0.001266  0.002516
   0.14606  0.85649  0.02710  0.99112  0.001763  0.001210  0.002596
   0.15944  0.84340  0.02987  1.00028  0.001679  0.001155  0.002683
   0.17288  0.83026  0.03269  1.00982  0.001595  0.001100  0.002779
   0.18638  0.81707  0.03556  1.01965  0.001513  0.001045  0.002882
   0.19993  0.80384  0.03848  1.02986  0.001431  0.000992  0.002993
   0.21354  0.79055  0.04143  1.04035  0.001351  0.000938  0.003114
   0.22721  0.77722  0.04442  1.05128  0.001271  0.000886  0.003246
   0.24092  0.76383  0.04744  1.06256  0.001193  0.000834  0.003390
   0.25468  0.75042  0.05047  1.07417  0.001116  0.000783  0.003546
   0.26844  0.73700  0.05351  1.08603  0.001041  0.000733  0.003714
   0.28216  0.72362  0.05653  1.09821  0.000968  0.000684  0.003895
   0.29581  0.71029  0.05952  1.11063  0.000897  0.000637  0.004086
   0.30939  0.69704  0.06248  1.12315  0.000830  0.000590  0.004277
   0.32288  0.68387  0.06539  1.13580  0.000768  0.000546  0.004456
   0.33627  0.67078  0.06824  1.14822  0.000712  0.000503  0.004583
   0.34956  0.65778  0.07102  1.16065  0.000665  0.000462  0.004591
   0.36273  0.64490  0.07371  1.17236  0.000639  0.000425  0.004298
   0.37578  0.63211  0.07632  1.18326  0.000657  0.000394  0.003378
   0.38868  0.61945  0.07883  1.19970  0.000772  0.000363  0.001618
   0.40139  0.60697  0.08121  1.25541  0.001098  0.000287  0.000001
   0.41392  0.59464  0.08344  1.26293  0.001119  0.000277 -0.000036
   0.42634  0.58240  0.08551  1.26689  0.001039  0.000272  0.000003
   0.43867  0.57022  0.08745  1.27180  0.000928  0.000266  0.000093
