#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.84941  0.004622  0.002319  0.000654
   0.00477  0.99542  0.00132  0.86316  0.004128  0.002174  0.000808
   0.01250  0.98810  0.00384  0.89789  0.003210  0.001866  0.001233
   0.02095  0.98013  0.00662  0.94153  0.002465  0.001562  0.001798
   0.02994  0.97157  0.00937  0.98181  0.001993  0.001338  0.002349
   0.03954  0.96234  0.01199  1.00540  0.001773  0.001221  0.002675
   0.04997  0.95222  0.01457  1.01646  0.001674  0.001162  0.002814
   0.06129  0.94122  0.01722  1.02513  0.001597  0.001113  0.002919
   0.07339  0.92944  0.01995  1.03266  0.001530  0.001068  0.003007
   0.08610  0.91703  0.02275  1.03973  0.001467  0.001026  0.003088
   0.09927  0.90418  0.02559  1.04670  0.001405  0.000984  0.003170
   0.11275  0.89101  0.02846  1.05375  0.001343  0.000942  0.003255
   0.12642  0.87764  0.03134  1.06094  0.001282  0.000901  0.003345
   0.14022  0.86415  0.03422  1.06827  0.001222  0.000859  0.003442
   0.15409  0.85058  0.03709  1.07565  0.001162  0.000818  0.003544
   0.16800  0.83697  0.03995  1.08328  0.001102  0.000778  0.003655
   0.18191  0.82334  0.04279  1.09099  0.001042  0.000737  0.003775
   0.19582  0.80972  0.04560  1.09883  0.000984  0.000698  0.003903
   0.20972  0.79611  0.04838  1.10680  0.000926  0.000658  0.004040
   0.22359  0.78251  0.05113  1.11483  0.000869  0.000619  0.004184
   0.23743  0.76894  0.05385  1.12295  0.000814  0.000581  0.004331
   0.25122  0.75541  0.05652  1.13113  0.000761  0.000543  0.004472
   0.26498  0.74191  0.05914  1.13904  0.000712  0.000507  0.004580
   0.27868  0.72845  0.06172  1.14691  0.000669  0.000471  0.004616
   0.29233  0.71503  0.06424  1.15426  0.000639  0.000438  0.004471
   0.30592  0.70167  0.06670  1.16131  0.000632  0.000407  0.003951
   0.31944  0.68836  0.06908  1.16890  0.000679  0.000381  0.002762
   0.33289  0.67511  0.07140  1.18642  0.000845  0.000351  0.000985
   0.34625  0.66194  0.07363  1.22385  0.001112  0.000298  0.000020
   0.35951  0.64885  0.07577  1.22720  0.001121  0.000293  0.000002
   0.37268  0.63584  0.07781  1.23116  0.001051  0.000288  0.000039
   0.38570  0.62296  0.07974  1.23615  0.000948  0.000281  0.000126
   0.39858  0.61021  0.08154  1.24220  0.000852  0.000273  0.000242
   0.41135  0.59754  0.08319  1.24831  0.000781  0.000265  0.000354
   0.42410  0.58489  0.08470  1.25355  0.000732  0.000259  0.000445
   0.43684  0.57222  0.08608  1.25786  0.000696  0.000252  0.000518
   0.44961  0.55952  0.08734  1.26145  0.000667  0.000247  0.000582
   0.46240  0.54678  0.08848  1.26438  0.000643  0.000242  0.000637
   0.47521  0.53400  0.08950  1.26692  0.000621  0.000237  0.000693
   0.48804  0.52120  0.09040  1.26887  0.000601  0.000232  0.000742
   0.50090  0.50837  0.09119  1.27019  0.000585  0.000228  0.000785
   0.51378  0.49551  0.09186  1.27075  0.000573  0.000224  0.000814
   0.52671  0.48259  0.09241  1.27077  0.000563  0.000221  0.000834
   0.53970  0.46961  0.09286  1.27047  0.000555  0.000218  0.000846
   0.55272  0.45659  0.09321  1.27016  0.000547  0.000215  0.000860
   0.56578  0.44353  0.09346  1.26986  0.000538  0.000212  0.000877
   0.57887  0.43045  0.09362  1.26939  0.000530  0.000208  0.000889
