#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.86296  0.004239  0.002474  0.001081
   0.00481  0.99528  0.00089  0.87403  0.003947  0.002357  0.001198
   0.01269  0.98760  0.00268  0.90175  0.003329  0.002098  0.001520
   0.02150  0.97904  0.00475  0.93215  0.002810  0.001856  0.001888
   0.03113  0.96965  0.00691  0.95789  0.002459  0.001677  0.002209
   0.04161  0.95939  0.00903  0.97192  0.002290  0.001583  0.002377
   0.05305  0.94815  0.01120  0.97915  0.002205  0.001528  0.002449
   0.06539  0.93603  0.01348  0.98549  0.002131  0.001479  0.002506
   0.07842  0.92322  0.01586  0.99142  0.002062  0.001432  0.002556
   0.09190  0.90997  0.01832  0.99747  0.001994  0.001385  0.002607
   0.10562  0.89648  0.02083  1.00371  0.001926  0.001338  0.002661
   0.11948  0.88286  0.02339  1.01016  0.001858  0.001291  0.002717
   0.13341  0.86917  0.02599  1.01666  0.001791  0.001244  0.002774
   0.14738  0.85544  0.02861  1.02356  0.001722  0.001197  0.002838
   0.16140  0.84168  0.03126  1.03061  0.001654  0.001150  0.002905
   0.17544  0.82789  0.03393  1.03789  0.001587  0.001103  0.002976
   0.18952  0.81408  0.03662  1.04549  0.001518  0.001057  0.003054
   0.20362  0.80024  0.03934  1.05319  0.001452  0.001011  0.003136
   0.21775  0.78637  0.04207  1.06122  0.001384  0.000965  0.003225
   0.23191  0.77248  0.04481  1.06947  0.001318  0.000920  0.003322
   0.24608  0.75858  0.04756  1.07790  0.001251  0.000875  0.003425
   0.26024  0.74469  0.05030  1.08655  0.001186  0.000830  0.003538
   0.27437  0.73083  0.05303  1.09541  0.001121  0.000786  0.003660
   0.28846  0.71700  0.05575  1.10444  0.001057  0.000743  0.003794
   0.30250  0.70322  0.05844  1.11352  0.000994  0.000701  0.003937
   0.31649  0.68949  0.06110  1.12290  0.000931  0.000659  0.004096
   0.33042  0.67581  0.06373  1.13223  0.000871  0.000618  0.004266
   0.34429  0.66218  0.06631  1.14172  0.000811  0.000578  0.004449
   0.35810  0.64861  0.06885  1.15126  0.000753  0.000538  0.004642
   0.37184  0.63510  0.07134  1.16066  0.000697  0.000499  0.004828
   0.38551  0.62164  0.07378  1.16995  0.000646  0.000462  0.004982
   0.39910  0.60826  0.07614  1.17867  0.000603  0.000426  0.005025
   0.41262  0.59494  0.07844  1.18665  0.000576  0.000393  0.004782
   0.42605  0.58169  0.08066  1.19356  0.000587  0.000364  0.003879
   0.43939  0.56853  0.08279  1.20277  0.000696  0.000341  0.001929
   0.45262  0.55545  0.08483  1.25541  0.001066  0.000273 -0.000014
   0.46575  0.54247  0.08677  1.26341  0.001128  0.000263 -0.000070
   0.47876  0.52959  0.08860  1.26769  0.001071  0.000258 -0.000056
   0.49164  0.51682  0.09031  1.27244  0.000958  0.000252  0.000007
   0.50434  0.50421  0.09189  1.27850  0.000839  0.000245  0.000129
   0.51692  0.49172  0.09331  1.28567  0.000747  0.000237  0.000272
   0.52942  0.47928  0.09457  1.29251  0.000685  0.000230  0.000394
   0.54190  0.46685  0.09568  1.29894  0.000636  0.000223  0.000512
   0.55433  0.45446  0.09665  1.30482  0.000595  0.000216  0.000628
   0.56673  0.44208  0.09747  1.30972  0.000562  0.000210  0.000734
   0.57912  0.42971  0.09814  1.31361  0.000535  0.000204  0.000832
   0.59150  0.41735  0.09866  1.31654  0.000511  0.000199  0.000922
   0.60388  0.40497  0.09903  1.31827  0.000493  0.000194  0.000998
   0.61629  0.39256  0.09924  1.31863  0.000479  0.000190  0.001049
   0.62876  0.38010  0.09931  1.31788  0.000469  0.000187  0.001076
   0.64129  0.36756  0.09924  1.31667  0.000461  0.000184  0.001094
   0.65388  0.35497  0.09903  1.31544  0.000453  0.000180  0.001114
   0.66651  0.34235  0.09870  1.31421  0.000444  0.000177  0.001138
   0.67916  0.32971  0.09825  1.31279  0.000436  0.000174  0.001160
   0.69183  0.31705  0.09766  1.31129  0.000427  0.000170  0.001183
   0.70450  0.30440  0.09695  1.30974  0.000418  0.000167  0.001209
   0.71717  0.29176  0.09612  1.30797  0.000409  0.000163  0.001231
   0.72983  0.27913  0.09517  1.30638  0.000399  0.000160  0.001266
   0.74247  0.26654  0.09409  1.30433  0.000391  0.000156  0.001290
   0.75509  0.25398  0.09288  1.30238  0.000381  0.000152  0.001324
   0.76766  0.24147  0.09155  1.30025  0.000371  0.000148  0.001357
   0.78020  0.22902  0.09010  1.29802  0.000361  0.000144  0.001396
   0.79268  0.21665  0.08851  1.29555  0.000351  0.000140  0.001434
   0.80509  0.20435  0.08680  1.29295  0.000340  0.000136  0.001476
   0.81742  0.19216  0.08496  1.29022  0.000329  0.000132  0.001525
   0.82965  0.18009  0.08299  1.28717  0.000318  0.000127  0.001574
   0.84177  0.16816  0.08089  1.28396  0.000307  0.000123  0.001632
   0.85374  0.15639  0.07866  1.28037  0.000296  0.000118  0.001690
   0.86553  0.14484  0.07630  1.27662  0.000284  0.000114  0.001761
   0.87711  0.13353  0.07382  1.27243  0.000272  0.000109  0.001837
   0.88843  0.12251  0.07123  1.26775  0.000260  0.000104  0.001912
   0.89942  0.11185  0.06853  1.26297  0.000247  0.000099  0.002013
   0.91003  0.10162  0.06575  1.25751  0.000234  0.000094  0.002122
   0.92017  0.09189  0.06290  1.25137  0.000221  0.000089  0.002232
   0.92978  0.08272  0.06002  1.24510  0.000207  0.000084  0.002425
   0.93882  0.07416  0.05711  1.23648  0.000195  0.000079  0.002578
   0.94724  0.06625  0.05420  1.22682  0.000182  0.000074  0.002766
   0.95504  0.05901  0.05134  1.21549  0.000170  0.000070  0.002990
   0.96220  0.05242  0.04852  1.20177  0.000158  0.000066  0.003233
   0.96877  0.04645  0.04576  1.18517  0.000149  0.000062  0.003419
   0.97478  0.04107  0.04309  1.16715  0.000141  0.000058  0.003548
   0.98026  0.03624  0.04051  1.14906  0.000131  0.000055  0.003816
   0.98525  0.03191  0.03803  1.12792  0.000122  0.000051  0.004090
   0.98982  0.02802  0.03562  1.10334  0.000114  0.000048  0.004353
   0.99401  0.02453  0.03330  1.07553  0.000108  0.000046  0.004444
   0.99787  0.02139  0.03106  1.04746  0.000102  0.000043  0.004663
   1.00142  0.01857  0.02890  1.01657  0.000096  0.000041  0.004828
   1.00472  0.01603  0.02681  0.98334  0.000090  0.000038  0.005031
   1.00777  0.01375  0.02477  0.94645  0.000084  0.000036  0.005224
   1.01063  0.01169  0.02279  0.90569  0.000079  0.000034  0.005317
   1.01330  0.00986  0.02085  0.86189  0.000074  0.000032  0.005438
   1.01581  0.00822  0.01895  0.81153  0.000068  0.000030  0.005750
   1.01818  0.00676  0.01708  0.75193  0.000066  0.000029  0.005524
   1.02042  0.00548  0.01524  0.68888  0.000062  0.000027  0.005508
   1.02255  0.00435  0.01343  0.61814  0.000059  0.000026  0.005163
