#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.82160  0.004506  0.002314  0.000670
   0.00476  0.99537  0.00110  0.83382  0.004082  0.002182  0.000798
   0.01258  0.98787  0.00330  0.86379  0.003276  0.001903  0.001145
   0.02134  0.97949  0.00590  0.90154  0.002583  0.001620  0.001606
   0.03091  0.97033  0.00861  0.93778  0.002112  0.001399  0.002069
   0.04123  0.96036  0.01129  0.96070  0.001876  0.001274  0.002360
   0.05247  0.94945  0.01401  0.97327  0.001757  0.001203  0.002503
   0.06460  0.93766  0.01684  0.98416  0.001659  0.001142  0.002621
   0.07741  0.92519  0.01980  0.99429  0.001571  0.001085  0.002729
   0.09069  0.91226  0.02285  1.00452  0.001486  0.001029  0.002840
   0.10425  0.89907  0.02596  1.01484  0.001403  0.000975  0.002955
   0.11796  0.88573  0.02911  1.02529  0.001323  0.000922  0.003075
   0.13174  0.87232  0.03228  1.03610  0.001243  0.000869  0.003205
   0.14555  0.85887  0.03546  1.04719  0.001166  0.000818  0.003343
   0.15937  0.84543  0.03864  1.05834  0.001092  0.000767  0.003486
   0.17316  0.83200  0.04181  1.06986  0.001020  0.000718  0.003637
   0.18690  0.81863  0.04496  1.08176  0.000950  0.000670  0.003794
   0.20058  0.80531  0.04807  1.09352  0.000885  0.000624  0.003939
   0.21418  0.79207  0.05115  1.10562  0.000824  0.000579  0.004067
   0.22769  0.77889  0.05417  1.11768  0.000769  0.000535  0.004140
   0.24111  0.76581  0.05714  1.12976  0.000726  0.000494  0.004098
   0.25441  0.75282  0.06002  1.14158  0.000701  0.000457  0.003814
   0.26759  0.73994  0.06283  1.15387  0.000711  0.000423  0.003094
   0.28063  0.72718  0.06553  1.17007  0.000788  0.000389  0.001818
   0.29349  0.71459  0.06811  1.20093  0.000966  0.000342  0.000466
   0.30618  0.70213  0.07054  1.22445  0.001083  0.000309  0.000072
   0.31879  0.68974  0.07283  1.22785  0.001043  0.000304  0.000095
   0.33133  0.67738  0.07498  1.23225  0.000968  0.000298  0.000162
   0.34382  0.66505  0.07699  1.23729  0.000895  0.000291  0.000246
   0.35630  0.65271  0.07886  1.24250  0.000832  0.000283  0.000335
   0.36879  0.64035  0.08060  1.24747  0.000780  0.000276  0.000422
   0.38127  0.62797  0.08221  1.25202  0.000736  0.000270  0.000506
   0.39376  0.61557  0.08368  1.25577  0.000702  0.000264  0.000579
   0.40627  0.60313  0.08502  1.25837  0.000677  0.000259  0.000634
   0.41884  0.59062  0.08623  1.25975  0.000662  0.000255  0.000665
   0.43150  0.57801  0.08733  1.26026  0.000652  0.000252  0.000679
   0.44424  0.56530  0.08832  1.26070  0.000643  0.000249  0.000693
   0.45704  0.55253  0.08921  1.26099  0.000635  0.000246  0.000704
   0.46990  0.53970  0.09001  1.26124  0.000626  0.000243  0.000715
   0.48281  0.52681  0.09071  1.26152  0.000617  0.000239  0.000728
   0.49574  0.51389  0.09133  1.26167  0.000609  0.000236  0.000737
   0.50871  0.50094  0.09185  1.26185  0.000601  0.000233  0.000749
   0.52169  0.48796  0.09229  1.26201  0.000593  0.000230  0.000760
   0.53470  0.47496  0.09264  1.26218  0.000584  0.000227  0.000772
   0.54772  0.46194  0.09290  1.26233  0.000575  0.000223  0.000785
   0.56075  0.44891  0.09308  1.26245  0.000566  0.000220  0.000798
   0.57378  0.43588  0.09318  1.26250  0.000558  0.000217  0.000808
   0.58682  0.42284  0.09319  1.26276  0.000548  0.000213  0.000826
   0.59987  0.40979  0.09312  1.26273  0.000540  0.000210  0.000837
   0.61291  0.39675  0.09297  1.26294  0.000530  0.000206  0.000854
   0.62594  0.38372  0.09273  1.26295  0.000522  0.000203  0.000867
   0.63898  0.37069  0.09241  1.26312  0.000512  0.000199  0.000886
   0.65200  0.35768  0.09201  1.26313  0.000503  0.000195  0.000901
   0.66501  0.34467  0.09152  1.26331  0.000492  0.000191  0.000922
   0.67800  0.33169  0.09094  1.26339  0.000482  0.000188  0.000941
   0.69098  0.31873  0.09028  1.26343  0.000472  0.000184  0.000961
   0.70394  0.30580  0.08953  1.26347  0.000462  0.000180  0.000981
   0.71687  0.29289  0.08869  1.26362  0.000451  0.000176  0.001007
   0.72977  0.28002  0.08776  1.26363  0.000441  0.000172  0.001030
   0.74264  0.26719  0.08673  1.26373  0.000430  0.000167  0.001057
   0.75548  0.25441  0.08561  1.26378  0.000419  0.000163  0.001085
   0.76826  0.24168  0.08439  1.26391  0.000407  0.000158  0.001119
   0.78099  0.22902  0.08307  1.26384  0.000396  0.000154  0.001147
   0.79367  0.21643  0.08164  1.26403  0.000383  0.000149  0.001189
   0.80626  0.20392  0.08011  1.26396  0.000371  0.000145  0.001223
   0.81878  0.19152  0.07847  1.26411  0.000358  0.000140  0.001271
   0.83119  0.17923  0.07672  1.26408  0.000346  0.000135  0.001315
   0.84348  0.16709  0.07485  1.26430  0.000332  0.000129  0.001379
   0.85561  0.15511  0.07286  1.26404  0.000319  0.000124  0.001427
   0.86757  0.14335  0.07076  1.26428  0.000304  0.000118  0.001509
   0.87929  0.13183  0.06853  1.26435  0.000288  0.000113  0.001613
   0.89074  0.12062  0.06618  1.26384  0.000271  0.000107  0.001736
   0.90188  0.10976  0.06371  1.26211  0.000257  0.000101  0.001838
   0.91266  0.09930  0.06113  1.26023  0.000241  0.000096  0.001983
   0.92299  0.08932  0.05845  1.25744  0.000224  0.000090  0.002188
   0.93282  0.07989  0.05568  1.25217  0.000209  0.000084  0.002386
   0.94209  0.07106  0.05285  1.24454  0.000196  0.000079  0.002539
   0.95076  0.06288  0.05000  1.23600  0.000183  0.000074  0.002692
   0.95875  0.05540  0.04717  1.22707  0.000169  0.000069  0.002954
   0.96605  0.04865  0.04439  1.21538  0.000156  0.000064  0.003257
   0.97269  0.04260  0.04166  1.20001  0.000144  0.000060  0.003567
   0.97871  0.03719  0.03902  1.18089  0.000136  0.000056  0.003686
   0.98415  0.03239  0.03647  1.16238  0.000126  0.000053  0.003939
   0.98906  0.02812  0.03403  1.14179  0.000117  0.000049  0.004204
   0.99351  0.02435  0.03168  1.11870  0.000109  0.000046  0.004546
   0.99754  0.02101  0.02942  1.09149  0.000101  0.000043  0.004813
   1.00122  0.01804  0.02724  1.06116  0.000094  0.000040  0.005087
   1.00460  0.01540  0.02513  1.02792  0.000088  0.000037  0.005179
   1.00770  0.01307  0.02309  0.99254  0.000080  0.000034  0.005782
   1.01058  0.01100  0.02109  0.94602  0.000075  0.000032  0.005935
   1.01325  0.00918  0.01914  0.89337  0.000070  0.000031  0.006208
   1.01575  0.00757  0.01722  0.83264  0.000067  0.000029  0.006037
   1.01809  0.00615  0.01536  0.76982  0.000064  0.000028  0.005898
   1.02030  0.00490  0.01354  0.70400  0.000061  0.000027  0.005615
   1.02238  0.00380  0.01177  0.63540  0.000057  0.000025  0.005410
   1.02435  0.00286  0.01005  0.56037  0.000054  0.000024  0.005090
   1.02621  0.00205  0.00837  0.47913  0.000052  0.000023  0.004584
   1.02798  0.00137  0.00673  0.39486  0.000049  0.000022  0.003911
   1.02968  0.00082  0.00513  0.30091  0.000045  0.000020  0.003365
   1.03129  0.00041  0.00357  0.19556  0.000044  0.000019  0.002225
   1.03283  0.00014  0.00206  0.08001  0.000039  0.000018  0.001034
   1.03432  0.00001  0.00057 -0.04942  0.000039  0.000018  0.000639
   1.03578  0.00002 -0.00089 -0.18259  0.000038  0.000017  0.002446
   1.03726  0.00018 -0.00236 -0.34189  0.000034  0.000016  0.005150
   1.03876  0.00053 -0.00382 -0.53270  0.000032  0.000014  0.008476
   1.04029  0.00117 -0.00521 -0.69914  0.000036  0.000016  0.009499
   1.04189  0.00211 -0.00650 -0.80540  0.000043  0.000018  0.008696
   1.04356  0.00330 -0.00767 -0.86250  0.000052  0.000022  0.007156
   1.04532  0.00468 -0.00876 -0.88736  0.000064  0.000026  0.005548
   1.04719  0.00622 -0.00982 -0.91431  0.000069  0.000029  0.005821
   1.04917  0.00792 -0.01085 -0.94480  0.000074  0.000031  0.005727
   1.05129  0.00979 -0.01185 -0.96421  0.000084  0.000034  0.004830
   1.05357  0.01185 -0.01282 -0.97456  0.000094  0.000038  0.004104
   1.05605  0.01412 -0.01380 -0.98442  0.000102  0.000041  0.003876
   1.05874  0.01663 -0.01479 -0.99372  0.000110  0.000045  0.003625
   1.06169  0.01941 -0.01579 -1.00147  0.000120  0.000048  0.003335
   1.06495  0.02250 -0.01682 -1.00908  0.000128  0.000052  0.003142
   1.06857  0.02596 -0.01787 -1.01627  0.000137  0.000056  0.002948
   1.07262  0.02986 -0.01897 -1.02269  0.000148  0.000059  0.002744
   1.07719  0.03429 -0.02011 -1.02711  0.000160  0.000064  0.002481
   1.08237  0.03933 -0.02130 -1.03155  0.000172  0.000069  0.002321
   1.08829  0.04511 -0.02255 -1.03505  0.000185  0.000074  0.002134
   1.09504  0.05173 -0.02385 -1.03799  0.000200  0.000079  0.001969
   1.10272  0.05929 -0.02520 -1.04074  0.000214  0.000085  0.001832
   1.11138  0.06784 -0.02659 -1.04268  0.000231  0.000091  0.001685
   1.12099  0.07735 -0.02800 -1.04458  0.000247  0.000098  0.001574
   1.13147  0.08774 -0.02938 -1.04570  0.000266  0.000104  0.001453
   1.14268  0.09887 -0.03072 -1.04653  0.000283  0.000111  0.001355
   1.15446  0.11058 -0.03200 -1.04694  0.000302  0.000118  0.001265
   1.16666  0.12272 -0.03321 -1.04720  0.000319  0.000125  0.001192
   1.17918  0.13519 -0.03435 -1.04741  0.000336  0.000131  0.001131
   1.19194  0.14790 -0.03541 -1.04738  0.000353  0.000138  0.001071
   1.20487  0.16080 -0.03639 -1.04745  0.000369  0.000144  0.001026
   1.21793  0.17383 -0.03731 -1.04716  0.000385  0.000150  0.000975
   1.23111  0.18698 -0.03816 -1.04721  0.000400  0.000156  0.000944
   1.24437  0.20022 -0.03896 -1.04687  0.000415  0.000161  0.000902
   1.25771  0.21353 -0.03970 -1.04684  0.000429  0.000167  0.000876
   1.27111  0.22691 -0.04040 -1.04685  0.000442  0.000172  0.000852
   1.28456  0.24034 -0.04105 -1.04690  0.000455  0.000177  0.000829
   1.29805  0.25382 -0.04167 -1.04695  0.000468  0.000182  0.000808
   1.31158  0.26734 -0.04225 -1.04731  0.000478  0.000187  0.000796
   1.32513  0.28088 -0.04279 -1.04785  0.000488  0.000191  0.000786
   1.33871  0.29445 -0.04330 -1.04837  0.000499  0.000196  0.000773
   1.35231  0.30804 -0.04378 -1.04923  0.000507  0.000200  0.000769
   1.36591  0.32164 -0.04423 -1.05023  0.000515  0.000204  0.000764
   1.37952  0.33524 -0.04466 -1.05134  0.000523  0.000207  0.000760
   1.39313  0.34884 -0.04505 -1.05272  0.000530  0.000211  0.000760
   1.40673  0.36244 -0.04541 -1.05406  0.000537  0.000214  0.000757
   1.42032  0.37602 -0.04574 -1.05579  0.000542  0.000217  0.000760
   1.43389  0.38959 -0.04604 -1.05751  0.000548  0.000220  0.000760
   1.44745  0.40315 -0.04631 -1.05943  0.000553  0.000223  0.000762
   1.46098  0.41668 -0.04654 -1.06141  0.000557  0.000226  0.000764
   1.47449  0.43019 -0.04673 -1.06347  0.000562  0.000228  0.000765
   1.48797  0.44367 -0.04688 -1.06576  0.000566  0.000231  0.000769
   1.50142  0.45711 -0.04698 -1.06800  0.000570  0.000233  0.000770
   1.51483  0.47052 -0.04704 -1.07049  0.000573  0.000235  0.000775
   1.52819  0.48389 -0.04705 -1.07282  0.000577  0.000237  0.000775
   1.54151  0.49720 -0.04700 -1.07540  0.000580  0.000239  0.000779
   1.55477  0.51046 -0.04690 -1.07790  0.000584  0.000241  0.000781
