#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00126  0.74857  0.000000  0.000000  0.000000
   0.00497  0.99521  0.00257  0.85590  0.000000  0.000000  0.000000
   0.01338  0.98708  0.00476  0.90121  0.000000  0.000000  0.000000
   0.02298  0.97781  0.00724  0.93505  0.000000  0.000000  0.000000
   0.03367  0.96748  0.00995  0.96355  0.000000  0.000000  0.000000
   0.04522  0.95629  0.01285  0.98713  0.000000  0.000000  0.000000
   0.05739  0.94449  0.01585  1.00964  0.000000  0.000000  0.000000
   0.06998  0.93229  0.01890  1.02871  0.000000  0.000000  0.000000
   0.08280  0.91983  0.02195  1.04704  0.000000  0.000000  0.000000
   0.09577  0.90722  0.02499  1.06365  0.000000  0.000000  0.000000
   0.10882  0.89452  0.02798  1.07890  0.000000  0.000000  0.000000
   0.12191  0.88177  0.03093  1.09376  0.000000  0.000000  0.000000
   0.13503  0.86897  0.03383  1.10713  0.000000  0.000000  0.000000
   0.14816  0.85615  0.03668  1.12063  0.000000  0.000000  0.000000
   0.16130  0.84331  0.03947  1.13278  0.000000  0.000000  0.000000
   0.17445  0.83045  0.04221  1.14508  0.000000  0.000000  0.000000
   0.18760  0.81758  0.04489  1.15661  0.000000  0.000000  0.000000
   0.20075  0.80469  0.04751  1.16784  0.000000  0.000000  0.000000
   0.21390  0.79180  0.05008  1.17895  0.000000  0.000000  0.000000
   0.22705  0.77889  0.05259  1.18938  0.000000  0.000000  0.000000
   0.24019  0.76597  0.05504  1.20009  0.000000  0.000000  0.000000
   0.25334  0.75305  0.05744  1.21014  0.000000  0.000000  0.000000
   0.26648  0.74012  0.05977  1.22028  0.000000  0.000000  0.000000
   0.27962  0.72718  0.06205  1.23016  0.000000  0.000000  0.000000
   0.29275  0.71423  0.06427  1.23992  0.000000  0.000000  0.000000
   0.30589  0.70128  0.06643  1.24979  0.000000  0.000000  0.000000
   0.31901  0.68832  0.06853  1.25904  0.000000  0.000000  0.000000
   0.33213  0.67536  0.07057  1.26875  0.000000  0.000000  0.000000
   0.34525  0.66239  0.07255  1.27804  0.000000  0.000000  0.000000
   0.35836  0.64942  0.07446  1.28758  0.000000  0.000000  0.000000
   0.37146  0.63645  0.07632  1.29670  0.000000  0.000000  0.000000
   0.38456  0.62348  0.07811  1.30621  0.000000  0.000000  0.000000
   0.39764  0.61051  0.07984  1.31548  0.000000  0.000000  0.000000
   0.41072  0.59754  0.08150  1.32480  0.000000  0.000000  0.000000
   0.42379  0.58457  0.08310  1.33414  0.000000  0.000000  0.000000
   0.43685  0.57160  0.08463  1.34363  0.000000  0.000000  0.000000
   0.44989  0.55863  0.08609  1.35299  0.000000  0.000000  0.000000
   0.46293  0.54567  0.08748  1.36252  0.000000  0.000000  0.000000
   0.47595  0.53272  0.08880  1.37209  0.000000  0.000000  0.000000
   0.48896  0.51977  0.09006  1.38184  0.000000  0.000000  0.000000
   0.50195  0.50683  0.09124  1.39160  0.000000  0.000000  0.000000
   0.51493  0.49390  0.09234  1.40170  0.000000  0.000000  0.000000
   0.52790  0.48098  0.09337  1.41175  0.000000  0.000000  0.000000
   0.54084  0.46807  0.09433  1.42214  0.000000  0.000000  0.000000
   0.55376  0.45518  0.09520  1.43277  0.000000  0.000000  0.000000
